LR,BS,Mid layer,accuracy
0.005,1000.0,8.0,0.4974166750907898
0.005,1000.0,16.0,0.5005000233650208
0.005,1000.0,32.0,0.5019166469573975
0.005,1000.0,64.0,0.5189999938011169
0.005,1000.0,128.0,0.5094166398048401
0.01,1000.0,8.0,0.49791666865348816
0.01,1000.0,16.0,0.5041666626930237
0.01,1000.0,32.0,0.5050833225250244
0.01,1000.0,64.0,0.500333309173584
0.01,1000.0,128.0,0.49666666984558105
0.05,1000.0,8.0,0.5005833506584167
0.05,1000.0,16.0,0.5009999871253967
0.05,1000.0,32.0,0.500083327293396
0.05,1000.0,64.0,0.5045833587646484
0.05,1000.0,128.0,0.5049999952316284
0.1,1000.0,8.0,0.49966666102409363
0.1,1000.0,16.0,0.5069166421890259
0.1,1000.0,32.0,0.4950000047683716
0.1,1000.0,64.0,0.49950000643730164
0.1,1000.0,128.0,0.4959999918937683
0.005,2000.0,8.0,0.5024999976158142
0.005,2000.0,16.0,0.5160833597183228
0.005,2000.0,32.0,0.4975833296775818
0.005,2000.0,64.0,0.5091666579246521
0.005,2000.0,128.0,0.5042499899864197
0.01,2000.0,8.0,0.49408334493637085
0.01,2000.0,16.0,0.4973333477973938
0.01,2000.0,32.0,0.49908334016799927
0.01,2000.0,64.0,0.500249981880188
0.01,2000.0,128.0,0.5049999952316284
0.05,2000.0,8.0,0.5
0.05,2000.0,16.0,0.5051666498184204
0.05,2000.0,32.0,0.5073333382606506
0.05,2000.0,64.0,0.5025833249092102
0.05,2000.0,128.0,0.5050833225250244
0.1,2000.0,8.0,0.503083348274231
0.1,2000.0,16.0,0.4976666569709778
0.1,2000.0,32.0,0.503000020980835
0.1,2000.0,64.0,0.5059166550636292
0.1,2000.0,128.0,0.5013333559036255
0.005,250.0,8.0,0.5111666917800903
0.005,250.0,16.0,0.512666642665863
0.005,250.0,32.0,0.503083348274231
0.005,250.0,64.0,0.5040833353996277
0.005,250.0,128.0,0.5105833411216736
0.01,250.0,8.0,0.503166675567627
0.01,250.0,16.0,0.49266666173934937
0.01,250.0,32.0,0.5090833306312561
0.01,250.0,64.0,0.5104166865348816
0.01,250.0,128.0,0.49825000762939453
0.05,250.0,8.0,0.5109999775886536
0.05,250.0,16.0,0.4962500035762787
0.05,250.0,32.0,0.5046666860580444
0.05,250.0,64.0,0.4961666762828827
0.05,250.0,128.0,0.5016666650772095
0.1,250.0,8.0,0.4975833296775818
0.1,250.0,16.0,0.49775001406669617
0.1,250.0,32.0,0.5061666369438171
0.1,250.0,64.0,0.4970833361148834
0.1,250.0,128.0,0.49391666054725647
0.005,4000.0,8.0,0.49816668033599854
0.005,4000.0,16.0,0.5082499980926514
0.005,4000.0,32.0,0.4984166622161865
0.005,4000.0,64.0,0.512583315372467
0.005,4000.0,128.0,0.5102499723434448
0.01,4000.0,8.0,0.5004166960716248
0.01,4000.0,16.0,0.5048333406448364
0.01,4000.0,32.0,0.5028333067893982
0.01,4000.0,64.0,0.5046666860580444
0.01,4000.0,128.0,0.48750001192092896
0.05,4000.0,8.0,0.5065833330154419
0.05,4000.0,16.0,0.4988333284854889
0.05,4000.0,32.0,0.49300000071525574
0.05,4000.0,64.0,0.5021666884422302
0.05,4000.0,128.0,0.4975833296775818
0.1,4000.0,8.0,0.49941667914390564
0.1,4000.0,16.0,0.5040000081062317
0.1,4000.0,32.0,0.5090833306312561
0.1,4000.0,64.0,0.5017499923706055
0.1,4000.0,128.0,0.49558332562446594
0.005,500.0,8.0,0.5007500052452087
0.005,500.0,16.0,0.5072500109672546
0.005,500.0,32.0,0.5
0.005,500.0,64.0,0.5093333125114441
0.005,500.0,128.0,0.49958333373069763
0.01,500.0,8.0,0.5059999823570251
0.01,500.0,16.0,0.5015000104904175
0.01,500.0,32.0,0.5059999823570251
0.01,500.0,64.0,0.5036666393280029
0.01,500.0,128.0,0.5060833096504211
0.05,500.0,8.0,0.4938333332538605
0.05,500.0,16.0,0.5067499876022339
0.05,500.0,32.0,0.4963333308696747
0.05,500.0,64.0,0.49966666102409363
0.05,500.0,128.0,0.4933333396911621
0.1,500.0,8.0,0.49674999713897705
0.1,500.0,16.0,0.4971666634082794
0.1,500.0,32.0,0.5013333559036255
0.1,500.0,64.0,0.5019166469573975
0.1,500.0,128.0,0.5005000233650208
